StockID,Name,Type,2016-01-04,2016-01-11,2016-01-18,2016-01-25,2016-02-01,2016-02-15,2016-02-22,2016-03-01,2016-03-07,2016-03-14,2016-03-21,2016-03-28,2016-04-06,2016-04-11,2016-04-18,2016-04-25,2016-05-03,2016-05-09,2016-05-16,2016-05-23,2016-05-30,2016-06-06,2016-06-13,2016-06-20,2016-06-27,2016-07-04,2016-07-11,2016-07-18,2016-07-25,2016-08-01,2016-08-08,2016-08-15,2016-08-22,2016-08-29,2016-09-05,2016-09-12,2016-09-19,2016-09-26,2016-10-03,2016-10-11,2016-10-17,2016-10-24,2016-10-31,2016-11-07,2016-11-14,2016-11-21,2016-11-28,2016-12-05,2016-12-12,2016-12-19,2016-12-26,2017-01-03,2017-01-09,2017-01-16,2017-01-23,2017-02-02,2017-02-06,2017-02-13,2017-02-20,2017-03-01,2017-03-06,2017-03-13,2017-03-20,2017-03-27,2017-04-05,2017-04-10,2017-04-17,2017-04-24,2017-05-02,2017-05-08,2017-05-15,2017-05-22,2017-05-31,2017-06-05,2017-06-12,2017-06-19,2017-06-26,2017-07-03,2017-07-10,2017-07-17,2017-07-24,2017-07-31,2017-08-07,2017-08-14,2017-08-21,2017-08-28,2017-09-04,2017-09-11,2017-09-18,2017-09-25,2017-10-02,2017-10-11,2017-10-16,2017-10-23,2017-10-30,2017-11-06,2017-11-13,2017-11-20,2017-11-27,2017-12-04,2017-12-11,2017-12-18,2017-12-25,2018-01-02,2018-01-08,2018-01-15,2018-01-22,2018-01-29,2018-02-05,2018-02-12,2018-02-21,2018-02-26,2018-03-05,2018-03-12,2018-03-19,2018-03-26,2018-04-02,2018-04-09,2018-04-16,2018-04-23,2018-04-30,2018-05-07,2018-05-14,2018-05-21,2018-05-28,2018-06-04,current
b'2610',b'\xe8\x8f\xaf\xe8\x88\xaa',b'\xe8\x88\xaa\xe9\x81\x8b\xe6\xa5\xad',b'11.45_natural_rally_state',b'11.15',b'11.20',b'11.35',b'11.10',b'11.35',b'11.50',b'11.65',b'11.60',b'11.60',b'11.45',b'11.35',b'11.05',b'11.05',b'10.60_downward_trend_state',b'10.55',b'10.10',b'10.10',b'10.05',b'10.50',b'10.45',b'10.45',b'10.05',b'10.10',b'9.62',b'9.25',b'9.63',b'9.91',b'9.40',b'9.56',b'9.51',b'9.30',b'9.29',b'9.40',b'9.43',b'9.28',b'9.57',b'9.35',b'9.44',b'9.35',b'9.44',b'9.39',b'9.35',b'9.19',b'9.24',b'9.77',b'9.50',b'9.57',b'9.50',b'9.28',b'9.30',b'9.30',b'9.42',b'9.34',b'9.40',b'9.42',b'9.63',b'9.89',b'10.10',b'10.05',b'10.15_natural_rally_state',b'10.50',b'10.50',b'10.55',b'9.46_natural_reaction_state',b'9.27',b'9.20',b'9.35',b'9.30',b'9.38',b'9.17_downward_trend_state',b'9.21',b'9.14',b'9.07',b'9.12',b'9.34',b'9.23',b'9.20',b'9.24',b'9.24',b'9.10',b'9.33',b'9.21',b'11.20_natural_rally_state',b'12.10',b'12.90',b'12.95',b'12.50',b'11.60_natural_reaction_state',b'11.30',b'11.50',b'11.50',b'11.25',b'12.20',b'12.15',b'11.25',b'11.30',b'11.45',b'12.00',b'11.80',b'12.25',b'12.15',b'11.65',b'12.50_secondary_rally_state',b'12.75',b'12.60',b'12.30',b'12.15',b'11.25_secondary_reaction_state',b'11.30',b'11.35',b'11.25_natural_reaction_state',b'11.10',b'11.20',b'10.75',b'10.80',b'10.55_downward_trend_state',b'10.55',b'10.50',b'10.45',b'10.35',b'10.20',b'10.00',b'10.00',b'10.05',b'10.15',b'downward_trend_state'
b'2618',b'\xe9\x95\xb7\xe6\xa6\xae\xe8\x88\xaa',b'\xe8\x88\xaa\xe9\x81\x8b\xe6\xa5\xad',b'18.35_natural_rally_state',b'17.80',b'17.60',b'17.55',b'17.15',b'17.35',b'17.85',b'18.00',b'17.95',b'17.60',b'17.70',b'17.85',b'17.80',b'16.95',b'16.05_downward_trend_state',b'16.00',b'15.00',b'14.70',b'14.35',b'14.80',b'14.70',b'14.70',b'14.55',b'14.95',b'14.70',b'14.15',b'15.70_natural_rally_state',b'15.55',b'15.20',b'15.85',b'15.75',b'15.60',b'14.70',b'14.90',b'14.60',b'14.30',b'14.65',b'14.30',b'14.75',b'14.45',b'14.60',b'15.10',b'14.85',b'14.65',b'15.15',b'15.60',b'15.10',b'15.25',b'14.75',b'14.55',b'14.60',b'14.80',b'15.05',b'15.00',b'15.10',b'14.80',b'15.00',b'15.50',b'15.25',b'15.50',b'15.40',b'16.50',b'16.35',b'16.10',b'14.90',b'14.75_natural_reaction_state',b'14.70',b'14.85',b'15.05',b'14.95',b'14.55',b'14.75',b'14.60',b'14.55',b'14.50',b'15.00',b'15.05',b'15.15',b'15.35',b'15.05',b'14.80',b'14.75',b'14.45',b'15.70',b'15.95_secondary_rally_state',b'15.75',b'15.90',b'15.70',b'15.10',b'14.80',b'14.85',b'15.00',b'14.70',b'15.00',b'14.85',b'14.75',b'15.05',b'15.30',b'15.35',b'15.25',b'15.50',b'15.95',b'15.85',b'16.20',b'16.05',b'15.95',b'15.50',b'15.45',b'14.75',b'14.75',b'14.95',b'14.85',b'14.85',b'15.20',b'14.75',b'15.05',b'14.95',b'15.35',b'15.45',b'15.50',b'15.30',b'15.10',b'15.10',b'14.95',b'15.15',b'15.25',b'secondary_rally_state'
b'2612',b'\xe4\xb8\xad\xe8\x88\xaa',b'\xe8\x88\xaa\xe9\x81\x8b\xe6\xa5\xad',b'20.25_downward_trend_state',b'20.10',b'20.20',b'20.25',b'20.50',b'20.60',b'24.05_natural_rally_state',b'26.35',b'27.25',b'25.80',b'24.35_natural_reaction_state',b'24.15',b'24.70',b'26.00',b'24.20',b'24.05',b'22.40',b'21.20',b'21.80',b'21.75',b'22.60',b'22.55',b'21.90',b'21.60',b'21.90',b'22.45',b'23.20',b'23.10',b'22.70',b'22.60',b'22.35',b'22.60',b'21.80',b'21.80',b'21.85',b'21.70',b'23.35_secondary_rally_state',b'24.00',b'26.20',b'24.30',b'24.70',b'24.40',b'22.20_secondary_reaction_state',b'25.65_secondary_rally_state',b'33.00_natural_rally_state',b'32.50',b'31.25',b'28.45_secondary_reaction_state',b'27.00',b'27.15',b'26.40',b'27.30',b'26.50',b'28.15',b'28.00',b'28.20',b'28.65',b'32.25_secondary_rally_state',b'34.15_natural_rally_state',b'32.50',b'33.20',b'32.70',b'30.70_secondary_reaction_state',b'31.00',b'30.60',b'28.10',b'28.60',b'28.55',b'28.05',b'27.00',b'26.80',b'28.80',b'28.10',b'27.45',b'27.40',b'26.90',b'27.25',b'27.05',b'27.60',b'27.75',b'27.20',b'27.90',b'27.75',b'31.80_secondary_rally_state',b'31.05',b'30.25',b'30.30',b'29.70',b'29.50',b'28.00_secondary_reaction_state',b'27.95',b'27.75',b'28.00',b'28.35',b'28.60',b'28.50',b'27.70',b'28.40',b'29.60',b'29.90',b'29.40',b'28.25',b'28.70',b'29.90',b'30.10',b'29.55',b'30.00',b'30.30',b'28.90',b'29.15',b'30.00',b'30.05',b'30.70_secondary_rally_state',b'30.55',b'29.20',b'29.35',b'28.60',b'28.45',b'28.45',b'28.85',b'28.60',b'29.45',b'28.35',b'28.25',b'28.10',b'28.75',b'secondary_rally_state'
b'2606',b'\xe8\xa3\x95\xe6\xb0\x91',b'\xe8\x88\xaa\xe9\x81\x8b\xe6\xa5\xad',b'25.35_downward_trend_state',b'23.80',b'24.05',b'25.40',b'24.90',b'26.45_natural_rally_state',b'26.80',b'28.95',b'28.80',b'27.55',b'26.55',b'25.25_natural_reaction_state',b'25.25',b'27.35',b'27.10',b'26.10',b'25.25',b'24.00',b'24.60',b'24.75',b'24.60',b'24.60',b'24.60',b'24.15',b'24.80',b'23.85',b'24.00',b'23.95',b'23.50_downward_trend_state',b'23.10',b'21.95',b'22.00',b'21.80',b'22.20',b'22.10',b'21.90',b'23.00',b'22.40',b'22.25',b'21.85',b'21.85',b'21.95',b'21.35',b'23.30',b'26.40_natural_rally_state',b'25.30',b'25.65',b'25.35',b'24.70',b'24.15',b'25.10',b'25.20',b'25.60',b'26.90',b'27.30',b'27.45',b'27.20',b'31.20',b'33.50',b'32.70',b'32.80',b'32.35',b'30.90',b'32.65',b'32.00',b'30.60',b'29.65_natural_reaction_state',b'30.55',b'29.90',b'29.10',b'29.35',b'31.55',b'31.05',b'30.70',b'31.00',b'30.30',b'31.80',b'30.65',b'31.90',b'31.90',b'31.25',b'32.15_secondary_rally_state',b'33.35',b'38.50_natural_rally_state',b'38.00',b'37.85',b'38.80',b'36.65',b'37.15',b'34.20_secondary_reaction_state',b'34.10',b'34.55',b'34.60',b'35.00',b'35.95',b'35.25',b'33.95',b'35.40',b'36.80',b'37.70_secondary_rally_state',b'36.70',b'35.90',b'36.50',b'37.80',b'38.90_natural_rally_state',b'37.75',b'38.15',b'37.90',b'34.50_secondary_reaction_state',b'34.55',b'37.50',b'37.70',b'36.20',b'37.60',b'34.95',b'35.30',b'34.75',b'34.80',b'34.70',b'35.35',b'35.25',b'35.30',b'33.50',b'33.70',b'33.65',b'33.95',b'secondary_reaction_state'
b'2208',b'\xe5\x8f\xb0\xe8\x88\xb9',b'\xe8\x88\xaa\xe9\x81\x8b\xe6\xa5\xad',b'13.80_natural_rally_state',b'13.60',b'14.90',b'14.95',b'14.65',b'14.75',b'15.20_upward_trend_state',b'15.40',b'16.00',b'16.00',b'16.05',b'15.95',b'16.30',b'15.80',b'15.45',b'15.45',b'14.40_natural_reaction_state',b'14.70',b'14.65',b'15.70',b'15.80',b'15.25',b'14.90',b'14.90',b'15.20',b'15.25',b'14.85',b'14.75',b'14.75',b'15.25',b'14.85',b'14.75',b'14.90',b'14.90',b'14.25',b'14.10',b'13.80',b'13.55',b'13.40',b'13.30',b'13.35',b'13.20',b'13.00',b'12.80',b'13.35',b'13.20',b'13.20',b'13.15',b'12.90',b'14.10_natural_rally_state',b'13.80',b'13.65',b'13.70',b'13.80',b'13.85',b'13.90',b'13.70',b'14.25',b'14.30',b'14.45',b'13.95',b'14.45',b'15.05',b'14.25',b'14.00',b'13.65',b'13.75',b'14.05',b'13.85',b'13.85',b'13.80',b'13.65',b'13.60',b'13.35_secondary_reaction_state',b'12.80_natural_reaction_state',b'12.95',b'12.90',b'13.05',b'13.10',b'13.10',b'13.15',b'12.95',b'12.30',b'12.20',b'12.70',b'12.65',b'12.60',b'12.70',b'12.45',b'12.20',b'12.25',b'12.40',b'12.55',b'13.05',b'13.55',b'11.00_downward_trend_state',b'11.10',b'11.50',b'11.55',b'11.35',b'11.25',b'11.30',b'11.30',b'12.65_natural_rally_state',b'13.80',b'14.55',b'14.10',b'14.20',b'13.00_natural_reaction_state',b'13.00',b'14.00',b'13.95',b'13.80',b'14.20',b'14.30',b'18.60_upward_trend_state',b'20.10',b'25.50',b'25.40',b'22.00_natural_reaction_state',b'20.05',b'20.70',b'19.50',b'18.70',b'18.90',b'18.10',b'natural_reaction_state'
b'2330',b'\xe5\x8f\xb0\xe7\xa9\x8d\xe9\x9b\xbb',b'\xe5\x8d\x8a\xe5\xb0\x8e\xe9\xab\x94\xe6\xa5\xad',b'134.00_natural_rally_state',b'137.00',b'138.50',b'142.00',b'146.00',b'151.00',b'149.00',b'152.50',b'155.00_upward_trend_state',b'159.50',b'158.00',b'158.50',b'157.50',b'159.50',b'156.50',b'150.00',b'148.00',b'144.00',b'148.50',b'156.50',b'160.00',b'165.50',b'163.00',b'159.00',b'166.00',b'164.50',b'169.50',b'171.00',b'172.50',b'177.00',b'177.50',b'174.50',b'177.00',b'174.50',b'178.00',b'173.50',b'187.50',b'182.50',b'188.00',b'188.00',b'188.50',b'189.50',b'184.50',b'181.50',b'181.00',b'182.00',b'178.00',b'186.00',b'185.00',b'178.50',b'181.50',b'184.00',b'181.50',b'181.00',b'185.50',b'184.50',b'185.50',b'189.50',b'189.00',b'184.00',b'183.50',b'191.50',b'192.50',b'189.00',b'191.00',b'189.00',b'190.00',b'194.50',b'197.50',b'206.00',b'203.00',b'207.00',b'209.00',b'212.00',b'211.50',b'217.00',b'208.50',b'206.00',b'213.00',b'214.00',b'213.00',b'213.00',b'212.50',b'212.50',b'217.50',b'216.50',b'218.00',b'218.50',b'218.50',b'216.50',b'224.50',b'237.50',b'237.50',b'239.00',b'239.00',b'240.50',b'241.50',b'244.00',b'231.00',b'227.00',b'230.00',b'227.50',b'229.50',b'240.00',b'237.00',b'255.50',b'255.00',b'259.50',b'232.50_natural_reaction_state',b'236.50',b'245.00',b'240.00',b'250.50',b'255.00',b'245.00',b'247.50',b'244.00',b'244.50',b'229.00',b'223.50',b'223.00',b'233.00',b'223.50',b'228.50',b'224.00',b'227.00',b'natural_reaction_state'
b'2337',b'\xe6\x97\xba\xe5\xae\x8f',b'\xe5\x8d\x8a\xe5\xb0\x8e\xe9\xab\x94\xe6\xa5\xad',b'',b'4.49_natural_rally_state',b'4.15_downward_trend_state',b'4.29',b'3.83',b'3.67',b'3.80',b'3.78',b'4.38_natural_rally_state',b'4.45',b'4.25',b'4.08',b'4.14',b'4.06',b'4.03',b'4.19',b'3.60_downward_trend_state',b'3.37',b'3.05',b'2.74',b'3.30_natural_rally_state',b'2.68_downward_trend_state',b'2.53',b'2.24',b'2.59_natural_rally_state',b'2.83',b'3.08',b'3.37',b'4.02',b'4.08',b'4.20',b'4.05',b'4.38',b'4.21',b'4.14',b'4.12',b'3.82_natural_reaction_state',b'3.99',b'4.19',b'4.36_secondary_rally_state',b'4.26',b'4.53_natural_rally_state',b'4.40',b'4.13',b'3.97_secondary_reaction_state',b'4.15',b'3.99',b'3.97',b'4.07',b'4.45_secondary_rally_state',b'4.51',b'4.63_natural_rally_state',b'5.04_upward_trend_state',b'6.24',b'6.28',b'6.96',b'7.15',b'8.50',b'8.67',b'8.97',b'9.66',b'8.52_natural_reaction_state',b'9.35',b'9.95_upward_trend_state',b'12.70',b'14.25',b'12.50_natural_reaction_state',b'13.25',b'13.45',b'12.85',b'12.45',b'13.95_natural_rally_state',b'13.90',b'17.00_upward_trend_state',b'17.00',b'16.75',b'16.20',b'16.70',b'16.80',b'15.50',b'15.50',b'16.75',b'16.80',b'16.90',b'16.55',b'42.80',b'47.55',b'48.35',b'48.70',b'48.30',b'50.30',b'59.70',b'60.10',b'54.50',b'54.70',b'52.00_natural_reaction_state',b'51.20',b'47.45',b'46.15',b'39.85',b'42.40',b'42.00',b'44.20_natural_rally_state',b'44.00',b'41.00',b'41.55',b'42.70',b'46.10',b'38.00_secondary_reaction_state',b'37.60_natural_reaction_state',b'42.10_secondary_rally_state',b'42.00',b'46.65_natural_rally_state',b'47.90',b'45.55',b'53.20_upward_trend_state',b'53.40',b'50.80',b'45.80_natural_reaction_state',b'45.55',b'43.35',b'40.80',b'45.20_natural_rally_state',b'46.25',b'48.60',b'48.70',b'natural_rally_state'
b'3041',b'\xe6\x8f\x9a\xe6\x99\xba',b'\xe5\x8d\x8a\xe5\xb0\x8e\xe9\xab\x94\xe6\xa5\xad',b'18.85_natural_rally_state',b'18.75',b'20.10_upward_trend_state',b'26.15',b'26.45',b'25.50',b'26.20',b'26.10',b'25.35',b'24.70',b'23.40_natural_reaction_state',b'23.80',b'22.85',b'21.00',b'20.70',b'19.55',b'18.20',b'17.35',b'16.15',b'18.85_natural_rally_state',b'17.85',b'18.00',b'16.95_secondary_reaction_state',b'16.35',b'16.65',b'16.00_natural_reaction_state',b'18.10_secondary_rally_state',b'17.80',b'17.80',b'18.10',b'17.00',b'16.95',b'17.00',b'16.40',b'16.70',b'16.65',b'16.60',b'16.50',b'16.05_secondary_reaction_state',b'15.00_natural_reaction_state',b'15.30',b'16.20',b'16.40',b'15.95',b'15.70',b'16.65_secondary_rally_state',b'16.10',b'16.70',b'16.50',b'15.70',b'15.85',b'16.05',b'15.95',b'15.70',b'16.50',b'16.65',b'16.40',b'16.60',b'16.85',b'16.50',b'16.45',b'17.00',b'16.35',b'16.45',b'16.25',b'15.60',b'15.35',b'15.50',b'14.95_secondary_reaction_state',b'14.95_natural_reaction_state',b'15.05',b'15.20',b'16.50_secondary_rally_state',b'15.95',b'15.50',b'15.95',b'15.90',b'16.30',b'18.35',b'19.05_natural_rally_state',b'20.75_upward_trend_state',b'20.10',b'21.15',b'20.10',b'23.05',b'23.50',b'22.00',b'20.40_natural_reaction_state',b'19.80',b'19.35',b'19.00',b'20.50',b'19.35',b'19.95',b'19.20',b'20.00',b'18.70',b'16.65',b'16.90',b'16.20',b'16.70',b'17.15',b'16.95',b'17.50',b'16.75',b'18.20_natural_rally_state',b'19.05',b'17.90',b'15.25_secondary_reaction_state',b'15.60_natural_reaction_state',b'16.60',b'16.45',b'17.00',b'16.05',b'15.50',b'15.20',b'15.00',b'14.70_downward_trend_state',b'14.40',b'13.30',b'13.75',b'13.90',b'13.75',b'14.50',b'14.75_natural_rally_state',b'15.35',b'natural_rally_state'
b'2458',b'\xe7\xbe\xa9\xe9\x9a\x86',b'\xe5\x8d\x8a\xe5\xb0\x8e\xe9\xab\x94\xe6\xa5\xad',b'43.00_natural_rally_state',b'39.05_natural_reaction_state',b'38.95',b'42.40',b'41.15',b'41.30',b'42.90_secondary_rally_state',b'42.50',b'41.65',b'38.70',b'38.20_secondary_reaction_state',b'38.45_natural_reaction_state',b'36.10_downward_trend_state',b'35.55',b'33.65',b'33.45',b'33.45',b'31.85',b'32.45',b'33.55',b'35.30_natural_rally_state',b'34.90',b'33.55',b'33.75',b'35.60',b'37.00',b'36.55',b'37.40',b'37.80',b'37.90',b'39.55',b'41.05',b'40.95',b'39.95',b'38.50',b'37.65',b'38.10',b'36.85_natural_reaction_state',b'37.40',b'35.85',b'36.00',b'36.05',b'34.10',b'32.65',b'31.50_downward_trend_state',b'32.00',b'32.55',b'34.25',b'34.05',b'33.35',b'34.65',b'35.00_natural_rally_state',b'34.55',b'33.90',b'34.30',b'34.95',b'35.50',b'37.40',b'37.75',b'38.20',b'38.05',b'38.45',b'38.70',b'38.70',b'39.00',b'38.70',b'38.85',b'42.75',b'42.45',b'41.85',b'42.90',b'42.80',b'45.80',b'43.70',b'42.05',b'41.55',b'42.30',b'42.70',b'44.75',b'46.00',b'45.00',b'44.85',b'41.85',b'41.95',b'42.50',b'43.00',b'43.30',b'44.35',b'42.85',b'42.30',b'43.50',b'44.00',b'44.00',b'44.80',b'50.10',b'49.25',b'52.80',b'51.90',b'49.60',b'47.70',b'48.30',b'48.40',b'46.10_natural_reaction_state',b'45.90',b'44.50',b'45.20',b'46.15',b'48.00',b'43.90',b'43.35',b'45.80',b'43.90',b'45.00',b'45.00',b'43.95',b'44.25',b'44.10',b'43.65',b'45.50',b'43.15',b'45.70',b'45.50',b'45.70',b'47.35',b'47.75_secondary_rally_state',b'48.50',b'secondary_rally_state'
b'5483',b'\xe4\xb8\xad\xe7\xbe\x8e\xe6\x99\xb6',b'\xe5\x8d\x8a\xe5\xb0\x8e\xe9\xab\x94\xe6\xa5\xad',b'44.15_secondary_rally_state',b'42.00_secondary_reaction_state',b'43.65',b'43.05',b'40.60_natural_reaction_state',b'43.10',b'41.30',b'41.00',b'39.35',b'38.10_downward_trend_state',b'36.75',b'35.75',b'34.65',b'34.30',b'33.30',b'34.40',b'33.80',b'30.95',b'33.25',b'36.30_natural_rally_state',b'35.45',b'34.90',b'35.90',b'34.25',b'35.80',b'36.90',b'36.95',b'36.10',b'34.80',b'34.00',b'33.95',b'34.40',b'33.70',b'33.40',b'33.55',b'32.75_natural_reaction_state',b'32.50',b'32.80',b'34.20',b'33.00',b'34.05',b'33.80',b'32.85',b'28.45_downward_trend_state',b'28.40',b'29.00',b'28.75',b'30.40',b'33.55_natural_rally_state',b'33.15',b'33.40',b'34.40',b'34.15',b'38.10',b'39.80',b'44.80',b'47.20',b'46.40',b'47.05',b'45.85',b'42.20_natural_reaction_state',b'45.90',b'45.90',b'48.60_secondary_rally_state',b'49.05_natural_rally_state',b'45.80',b'46.10',b'43.80_secondary_reaction_state',b'42.85',b'43.45',b'44.50',b'46.45',b'47.95_secondary_rally_state',b'46.80',b'45.20',b'46.60',b'45.15',b'46.80',b'49.65_natural_rally_state',b'51.00',b'60.50_upward_trend_state',b'64.20',b'57.80',b'56.90_natural_reaction_state',b'56.80',b'55.60',b'58.60',b'66.70_upward_trend_state',b'66.50',b'64.50',b'67.80',b'77.20',b'87.80',b'80.10',b'81.10',b'83.00',b'82.10',b'83.10',b'77.10_natural_reaction_state',b'78.00',b'76.10',b'75.30',b'76.30',b'81.70',b'80.00',b'88.80_upward_trend_state',b'94.40',b'99.90',b'89.00_natural_reaction_state',b'88.00',b'92.30',b'88.90',b'95.60',b'98.80_natural_rally_state',b'99.10',b'106.50_upward_trend_state',b'105.50',b'130.00',b'133.00',b'131.00',b'127.00',b'137.50',b'139.00',b'140.00',b'137.00',b'120.50_natural_reaction_state',b'natural_reaction_state'
